long,lat,group,order,region,subregion
-114.03066,26.24058,69,17206,alaska,NA
-114.03114,26.28114,94,17687,alaska,NA
-114.03527,25.71184,72,17270,alaska,NA
-114.04519,25.64675,72,17268,alaska,NA
-114.05215,25.90124,72,17299,alaska,NA
-114.05281,26.04297,69,17188,alaska,NA
-114.05337,25.67056,72,17269,alaska,NA
-114.06823,25.67047,72,17271,alaska,NA
-114.06921,25.73039,72,17272,alaska,NA
-114.07106,25.98801,67,17090,alaska,NA
-114.07519,25.92698,72,17295,alaska,NA
-114.08262,25.92138,72,17297,alaska,NA
-114.0877,25.90964,72,17298,alaska,NA
-114.09522,25.7057,72,17273,alaska,NA
-114.0958,25.92633,72,17296,alaska,NA
-114.09628,26.52374,64,16086,alaska,NA
-114.09757,26.3186,94,17686,alaska,NA
-114.09757,26.3186,94,17690,alaska,NA
-114.098,26.32473,64,16218,alaska,NA
-114.09926,25.80379,72,17277,alaska,NA
-114.10216,25.94703,72,17294,alaska,NA
-114.10439,25.96646,67,17091,alaska,NA
-114.10603,26.27663,94,17688,alaska,NA
-114.11087,25.74422,72,17275,alaska,NA
-114.11421,26.24472,69,17197,alaska,NA
-114.11976,26.08161,67,17089,alaska,NA
-114.12187,25.71793,72,17274,alaska,NA
-114.12471,26.24909,69,17190,alaska,NA
-114.12479,26.5586,64,16085,alaska,NA
-114.12618,26.19454,69,17189,alaska,NA
-114.12781,26.29621,94,17689,alaska,NA
-114.12821,26.10039,67,17137,alaska,NA
-114.12882,26.11315,67,17135,alaska,NA
-114.12928,26.21756,69,17191,alaska,NA
-114.13141,25.76778,72,17276,alaska,NA
-114.13289,25.8454,72,17280,alaska,NA
-114.13546,26.14657,67,17133,alaska,NA
-114.14164,26.0848,67,17138,alaska,NA
-114.14381,25.96651,72,17292,alaska,NA
-114.14417,26.12682,67,17134,alaska,NA
-114.14556,25.80891,72,17278,alaska,NA
-114.14557,25.94477,72,17293,alaska,NA
-114.1516,26.32073,64,16219,alaska,NA
-114.15169,25.83,72,17279,alaska,NA
-114.15338,26.18362,67,17132,alaska,NA
-114.1543,26.29686,69,17196,alaska,NA
-114.15653,25.87216,72,17282,alaska,NA
-114.16099,25.83203,72,17281,alaska,NA
-114.16276,26.2672,69,17193,alaska,NA
-114.16444,26.24734,69,17192,alaska,NA
-114.16543,26.35978,64,16220,alaska,NA
-114.1666,26.61006,64,16084,alaska,NA
-114.16999,25.96922,72,17290,alaska,NA
-114.17873,26.27358,69,17194,alaska,NA
-114.17948,25.97798,72,17289,alaska,NA
-114.18776,25.93868,72,17291,alaska,NA
-114.18779,26.60559,64,16083,alaska,NA
-114.18779,26.07315,67,17139,alaska,NA
-114.18811,25.81657,88,17635,alaska,NA
-114.19317,25.76591,88,17636,alaska,NA
-114.19355,26.31904,69,17195,alaska,NA
-114.19392,25.90227,72,17285,alaska,NA
-114.19505,25.85421,72,17283,alaska,NA
-114.19774,26.13435,67,17136,alaska,NA
-114.1999,25.85266,88,17633,alaska,NA
-114.20206,26.05936,67,17087,alaska,NA
-114.20227,26.24774,64,16243,alaska,NA
-114.20705,26.0444,67,17088,alaska,NA
-114.20904,26.41272,64,16222,alaska,NA
-114.21374,25.93035,72,17287,alaska,NA
-114.21444,25.84967,88,17634,alaska,NA
-114.21521,26.07237,67,17086,alaska,NA
-114.21849,25.95717,72,17288,alaska,NA
-114.22059,25.93776,67,17098,alaska,NA
-114.22315,26.64007,64,16082,alaska,NA
-114.22364,26.32205,64,16242,alaska,NA
-114.22509,25.81906,88,17639,alaska,NA
-114.22604,26.41334,64,16221,alaska,NA
-114.22645,25.90956,72,17286,alaska,NA
-114.23017,25.96645,67,17097,alaska,NA
-114.23203,26.4687,64,16223,alaska,NA
-114.23513,25.74802,88,17637,alaska,NA
-114.23553,25.88913,72,17284,alaska,NA
-114.23805,25.98389,67,17095,alaska,NA
-114.23842,25.87674,88,17632,alaska,NA
-114.23842,25.87674,88,17642,alaska,NA
-114.24034,25.89428,67,17099,alaska,NA
-114.24078,26.43562,64,16224,alaska,NA
-114.24151,25.78384,88,17638,alaska,NA
-114.24889,25.81708,88,17640,alaska,NA
-114.25217,25.96537,67,17096,alaska,NA
-114.2567,26.19582,67,17131,alaska,NA
-114.25763,26.39144,64,16240,alaska,NA
-114.2578,26.24498,64,16244,alaska,NA
-114.26507,26.37199,64,16241,alaska,NA
-114.26632,25.916,67,17102,alaska,NA
-114.26879,25.86838,88,17641,alaska,NA
-114.27361,26.00791,67,17093,alaska,NA
-114.27426,25.89514,67,17100,alaska,NA
-114.27458,26.46729,64,16225,alaska,NA
-114.2752,26.1971,67,17125,alaska,NA
-114.2789,26.63894,64,16081,alaska,NA
-114.28846,26.11055,67,17130,alaska,NA
-114.28907,26.14934,67,17126,alaska,NA
-114.2895,26.13576,67,17128,alaska,NA
-114.2902,26.51564,64,16226,alaska,NA
-114.29035,26.66306,64,16080,alaska,NA
-114.29096,25.98964,67,17094,alaska,NA
-114.29233,26.52223,64,16227,alaska,NA
-114.29415,26.27725,64,16247,alaska,NA
-114.29706,26.67721,64,16079,alaska,NA
-114.30296,26.03508,67,17092,alaska,NA
-114.30583,26.31479,64,16245,alaska,NA
-114.30606,26.31513,64,16246,alaska,NA
-114.31129,26.7052,64,16077,alaska,NA
-114.31919,25.97285,67,17104,alaska,NA
-114.31942,26.7409,64,16076,alaska,NA
-114.32085,26.68518,64,16078,alaska,NA
-114.32136,25.93114,67,17101,alaska,NA
-114.32156,26.11614,67,17129,alaska,NA
-114.32528,26.1404,67,17127,alaska,NA
-114.32957,26.54764,64,16235,alaska,NA
-114.33169,26.28673,64,16248,alaska,NA
-114.33432,26.49736,64,16239,alaska,NA
-114.34074,25.95897,67,17103,alaska,NA
-114.34122,26.11324,67,17085,alaska,NA
-114.34122,26.11324,67,17141,alaska,NA
-114.34158,26.11337,67,17140,alaska,NA
-114.34458,26.54649,64,16238,alaska,NA
-114.35035,26.22472,67,17124,alaska,NA
-114.35136,26.58957,64,16234,alaska,NA
-114.35364,25.96395,67,17105,alaska,NA
-114.35368,25.98974,67,17106,alaska,NA
-114.35704,26.05193,67,17113,alaska,NA
-114.35714,26.052,67,17114,alaska,NA
-114.35715,26.05198,67,17112,alaska,NA
-114.35717,26.05199,67,17111,alaska,NA
-114.36015,26.61405,64,16228,alaska,NA
-114.36186,26.58353,64,16236,alaska,NA
-114.3654,26.64033,64,16229,alaska,NA
